Konu,Soru,Cevap
Ödeme,Hangi durumlarda kredi kartı ibrazı isteniyor; kredi kartı ibrazını nasıl yapabilirim?,"Online Kanallarımızdan kredi kartı ile satın alınan biletlerde sadece sistem tarafından “riskli” görülen işlemler için kart ibrazı gereklidir. İşlemin “riskli” görülmesi durumunda, ödeme sırasında kart ibrazına ilişkin bir uyarı ile onayınız istenir. Bu uyarıyı onayladıktan sonra, kart sahibi, kredi kartı ve geçerli bir kimlik belgesini (pasaport, nüfus cüzdanı, ehliyet veya evlilik cüzdanı vb.) uçuş öncesinde (Türk Hava Yolları satış ofislerinde ya da check-in kontuarında) ibraz etmelidir. Ayrıca bilet üzerinde yapılacak herhangi bir değişiklik, iptal veya iade talebi için de kart ibrazı şartı aranır. Söz konusu uyarıyı onaylamamanız durumunda ise işleminiz tamamlanamaz ve ödeme için başka bir kredi kartı kullanmanız istenir."
Ödeme,Hesabımdan para çekildi ama biletim oluşturulmadı. İade hesabıma ne zaman geçer?,Ödemenin alınıp biletin oluşturulamadığı durumlarda sistem tarafından otomatik iade çalıştırılmaktadır. iDEAL ve Klarna online banka havalesi ile ödemesini gerçekleştirdiğiniz biletlerin iadesi hesap bilgilerinizde bir eksiklik olmadığı takdirde yaklaşık 5 iş günü içerisinde hesabınıza aktarılır. Kredi kartı işlemlerinde ise ortalama 3 iş günü içerisinde iadeniz gerçekleştirilecektir. İade süreleri kart ülkelerine göre değişiklik gösterebilmektedir.
Ödeme,Ödeme işlemini hangi döviz kurlarında yapabilirim?,"Ödeme yöntemine ve parkur bilgilerine göre değişmekle beraber şuan için online kanallarımızda yurtdışı uçuşlar için 51 farklı para biriminde ödeme alınabilmektedir (TRY, USD, EUR, GBP, AUD, CAD, CHF, DKK, JPY, KWD, NOK, SAR, SEK, RUB, CNY, BGN, BRL, COP, CZK, EGP, HKD, HUF, ILS, JOD, KZT, MAD, MXN, PLN, RON, RSD, SGD, QAR, MYR, KRW, AZN, OMR, PHP, PKR, UZS, IDR, THB, NGN, ARS, KES, BDT, XOF, TZS, XAF, DJF, MRU, AED, INR). Detaylı bilgi için ödeme sayfamızı ziyaret edebilirsiniz."
Ödeme,Hangi ödeme yöntemleri ile ödeme yapılabilmektedir?,"Desteklenen ödeme yöntemleri ödeme yapılmak istenen para birimine, uçuş parkuruna ve uçuşa kalan süreye göre değişiklik göstermektedir. Online kanallarımızdan kredi kartınızdan farklı olarak Sofort, İdeal, Klarna, KNET, Alipay, Shetab Kart, UnionPay, İnternet Bankacılığı, EFT, BKM Ekspress, Google Pay ve Apple Pay ile ödemenizi gerçekleştirebilirsiniz. Detaylı bilgi için ödeme sayfamızı ziyaret edebilirsiniz."
Ödeme,Bilet satın almak için hangi kredi kartı/banka kartıyla ödeme yapabilirim?,"Online bilet ödemelerinizi Visa, Visa Electron, MasterCard, Maestro , American Express, UnionPay, JCB, UATP, Diners Club, Discover, Troy, MIR, Carte Bleue Visa, CartaSi, Postepay, Bancontact ile yapabilirsiniz. Detaylı bilgi için ödeme sayfamızı ziyaret edebilirsiniz."
Ödeme,Kredi kartımla ödeme yaparken 3D Secure doğrulaması gerekiyorsa ne yapmalıyım?,"Kredi kartı ve banka kartı ile yapılan ödemeler için, gerekli görüldüğü ve kart bankasının desteklediği durumlarda 3D Secure doğrulaması talep edilebilir. 3D Secure doğrulaması istenilen işlemlerde, kart bilgileri girildikten sonra açılacak olan bankaya ait pencerede 3D Secure şifresinin girilmesi gerekmektedir. Bu işlem, ek güvenlik sağlayarak ödemenizi güvence altına almaktadır."
Ödeme,"Biletimi bir acenteden aldım, e-bilet faturasını nasıl alabilirim?","Fatura niteliğindeki mali e-biletinize, biletinizin düzenlenmesinden itibaren en geç 72 saat içinde http://ebiletfatura.turkishairlines.com adresinden ulaşabilirsiniz. Biletinizi bir acenteden satın aldıysanız lütfen faturanızı almak için acenteye başvurunuz."
Ödeme,Hangi durumlarda kredi kartı ibrazı isteniyor; kredi kartı ibrazını nasıl yapabilirim?,"Online Kanallarımızdan kredi kartı ile satın alınan biletlerde sadece sistem tarafından “riskli” görülen işlemler için kart ibrazı gereklidir. İşlemin “riskli” görülmesi durumunda, ödeme sırasında kart ibrazına ilişkin bir uyarı ile onayınız istenir. Bu uyarıyı onayladıktan sonra, kart sahibi, kredi kartı ve geçerli bir kimlik belgesini (pasaport, nüfus cüzdanı, ehliyet veya evlilik cüzdanı vb.) uçuş öncesinde (Türk Hava Yolları satış ofislerinde ya da check-in kontuarında) ibraz etmelidir. Ayrıca bilet üzerinde yapılacak herhangi bir değişiklik, iptal veya iade talebi için de kart ibrazı şartı aranır. Söz konusu uyarıyı onaylamamanız durumunda ise işleminiz tamamlanamaz ve ödeme için başka bir kredi kartı kullanmanız istenir."
Ödeme,Hangi ödeme yöntemleri ile bilet alabilirim?,"Kredi kartı, banka kartı ve online ödeme seçenekleri ile bilet alabilirsiniz. Ödeme sırasında kullanacağınız yöntemi seçerek işlemi tamamlayabilirsiniz."
Rezervasyon ve biletleme,Biletimi satın aldıktan sonra iptal etmem mümkün mü?,"Biletinizi iptal edebilirsiniz ancak her biletin iptal/iade durumu ücret koşullarına göre değişiklik gösterir. Biletinizin ücret koşullarını ""uçuşlarım"" sayfasından görebilir, detaylı bilgi için ücret koşulları sayfamızı ziyaret edebilirsiniz."
Rezervasyon ve biletleme,Asker aileleri için indiriminiz var mı?,Sadece Kuzey Kıbrıs Türk Cumhuriyeti'ndeki Türk Barış Kuvvetleri'nde görev yapmakta olan askerlerin eşleri ve 2-12 yaş arasındaki çocukları biletlerinin ücret sınıfına bağlı olarak %15 oranında indirimli bilet alabilir. Ancak bu indirimi online kanallarımız (internet sitesi/mobil uygulama) aracılığıyla satın alınan biletlerde sunamıyoruz. Detaylı bilgi için ücret koşulları sayfamızı ziyaret edebilir ya da bize ulaşın sayfamızdaki çağrı merkezimizden veya satış ofislerimizden bilgi alabilirsiniz.
Rezervasyon ve biletleme,Çocuğum için bilet alırken indirimli bir tarifeden yararlanabilir miyim?,Kendi koltuğunda yolculuk yapabilecek olan 2-12 yaş arası çocuklarınız için uygulanan indirim oranı güzergâha ve ücret sınıfına göre değişiklik gösterebilir. İndirimli ücretlerden faydalanmak için seyahat öncesinde çocuğunuzun doğum tarihini gösteren bir belge sunmanız gerektiğini hatırlatalım.
Rezervasyon ve biletleme,Bilet alırken bebeğim için yararlanabileceğim indirimli bir tarife var mı?,Bebek yolcularımız için uyguladığımız indirimli tarifeler hakkında bebek ve çocuk yolcular veya ücret koşulları sayfalarımızdan bilgi alabilirsiniz.
Rezervasyon ve biletleme,Hangi havalimanlarında Turkish Airlines Lounge'larından yararlanabilirim?,Yurt içi ve yurt dışında bulunan özel yolcu salonlarımızın listesi için Turkish Airlines Lounge sayfamızı ziyaret edebilirsiniz.
Rezervasyon ve biletleme,Biletimi kredi kartımla taksitli alabilir miyim?,Uçak biletinizi anlaşmalı bankaların kredi kartlarıını kullanarak taksitle alabilirsiniz. Anlaşmalı bankalar ve taksit seçeneklerini görmek için ödeme sayfamızı ziyaret edebilirsiniz.
Rezervasyon ve biletleme,Uçak biletimi bana ait olmayan bir kredi kartıyla satın alabilir miyim?,Başkasına ait bir kredi kartıyla da bilet satın alabilirsiniz. Detaylı bilgi için rezervasyon sayfamızı ziyaret edebilirsiniz.
Rezervasyon ve biletleme,İnternet üzerinden grup seyahatleri için bilet alabilir miyim?,"Online kanallarımız (internet sitesi ve mobil uygulama) aracılığıyla grup bilet satışı yapamıyoruz. Ancak dış hatlarda 7, iç hatlarda 9 yolcuya kadar olan seyahatleriniz için online kanallarımız aracılığıyla bilet satın alabilirsiniz. Bu sınırı aşan kişi sayısına sahip grup biletler için ise seyahat acentelerimize başvurabilirsiniz. Detaylı bilgi için rezervasyon sayfamızı ziyaret edebilirsiniz."
Rezervasyon ve biletleme,Uçuşum sırasında cenaze küllerini taşıyabilir miyim?,"Kül halindeki cenazeler tahta kutuda veya sandıkta, darbe emici paketlenmiş (kırılmaya karşı etkin korumalı) şekilde, özel kapaklı bir kap içerisinde kabul edilebilmektedir. Ayrıca kül halindeki cenazeyi taşıyacak yolcu beraberinde ölüm sertifikası ve kremasyon sertifikasının bulundurulması gerektiğini hatırlatmak isteriz. Küllerin kabin içinde taşınması durumunda, havalimanında güvenlik görevlileri tarafından küllerin kontrol edilebileceğini belirtelim."
Rezervasyon ve biletleme,"Online rezervasyon yaptıktan sonra, rezervasyon bilgilerinde değişiklik yapabilir miyim?","İnternet sitemiz veya mobil uygulamamız üzerinden yapılan online rezervasyon sonrası, rezervasyon bilgilerinde online olarak değişiklik yapmak mümkün değildir. Farklı bir kanal üzerinden değişiklik veya iptal işlemi yapılması halinde, rezervasyon ücreti iade edilmez."
Rezervasyon ve biletleme,Bilet alırken istediğim koltuğu seçebilir miyim?,"Bilet alım aşamasında sunduğumuz ek hizmetlerden yararlanarak, uçuşunuza ve bilet özelliklerinize göre koltuğunuzu ücretsiz olarak seçebilir veya satın alabilirsiniz. Dilerseniz koltuk seçiminizi bilet alım sürecinizi tamamladıktan sonra check-in sayfasından da yapabilirsiniz."
Rezervasyon ve biletleme,Acenteden satın aldığım iç hat biletimin iadesini Türk Hava Yolları'ndan alabilir miyim?,"Seyahat acentesinden satın aldığınız iç hat biletin iadesini, biletin düzenlendiği tarihten itibaren 30 gün içinde bileti satın aldığınız acenteden, 31 gün ve sonrasında ise Türk Hava Yolları’ndan alabilirsiniz."
Rezervasyon ve biletleme,Askerlik görevimi yerine getirdiğim sırada indirimli bilet alabilir miyim?,Askerlik görevinizi er ve erbaş olarak yerine getiriyorsanız iç hat seferlerde biletinizin ücret sınıfına bağlı olarak %15 oranında indirimli bilet alabilirsiniz. Bu indirimi sadece Türk Hava Yolları'nın tek başına işlettiği hatlarda alabileceğinizi ve promosyon biletlerde indirim kazanamayacağınızı hatırlatalım. Detaylı bilgi için Ücret koşulları sayfamızı ziyaret edebilirsiniz.
Rezervasyon ve biletleme,Biletimi satın aldıktan sonra değişiklik yapabilir miyim?,"Biletinizi ancak ücret koşulları izin verdiği takdirde değiştirebilirsiniz. Biletinizin ücret koşullarını uçuşlarım sayfasından görebilir, detaylı bilgi için ücret koşulları sayfamızı ziyaret edebilirsiniz."
Rezervasyon ve biletleme,Kabinde bebeğim için beşik isteyebilir miyim?,"Uçaklarımızda bulunan ön koltuğa monte edilebilir bebek pusetleri rezervasyon sırasında talep edilerek kullanılabilir. Bunun haricinde, bebeğinizi, koltuğunuzdaki ilave kemerleri kullanarak kucağınızda taşıyabilirsiniz. Dilerseniz bebeğiniz için de bir koltuk alabilir ve puset içinde koltukta yolculuk yapmasını sağlayabilirsiniz. Detaylı bilgi için bebek ve çocuk yolcular sayfamızı ziyaret edebilirsiniz."
All-in,Başka birinin adına düzenlenmiş biletle seyahat edebilir miyim?,"Biletlerin kullanım, rezervasyon veya güzergâh değiştirme gibi hakları, yalnızca biletin üzerinde adı ve soyadı yazılı olan kişiye aittir. Bu sebeple sadece kendi adınıza düzenlenmiş biletlerle seyahat edebilirsiniz. Detaylı bilgi için rezervasyon sayfamızı ziyaret edebilirsiniz."
All-in,İnternet sitenizde yer alan fiyatlara tüm vergiler dâhil midir?,"İnternet sitemizde yer alan fiyatlara, tüm vergi ve hizmet bedellerinin dâhil olduğundan emin olabilirsiniz. Detaylı bilgi için ücret koşulları sayfamızı ziyaret edebilirsiniz."
All-in,Bilet iadesi durumunda biletleme servis ücretini de iade ediyor musunuz?,
All-in,Uçuşlarınızda Economy Class ve Business Class için uygulanan kapasiteler değişebiliyor mu?,"Bilet iadesi sizden kaynaklı bir sebeple yapılmışsa rezervasyon ve bilet düzenleme hizmetinin karşılığı olarak alınmış olan biletleme servis ücretinin iade edilemeyeceğini üzülerek belirtelim. Ancak Türk Hava Yolları’ndan kaynaklanan, sefer iptallerinde onaylanmış rezervasyonun sağlanamaması gibi durumlarda, satış ofislerimizden, çağrı merkezimizden, internet sitemiz ya da mobil uygulamamızdan satın aldığınız bilete ait biletleme servis ücretinin iadesini talep edebilir ve daha önce ödediğiniz ücreti iade alabilirsiniz. İade işlemi için ayrıca biletleme servis ücreti ödemeniz gerekmediğini ekleyelim."
All-in,Uçuşumda bir değişiklik meydana geldiğinde bundan nasıl haberdar olabilirim?,
All-in,Uçuş durumuyla ilgili bilgi alabilir miyim?,"Belirli bir uçuşun durumunu öğrenmek için uçuş durumu sayfamıza ulaşabilir, uçuş numaranızı girerek ya da kalkış-varış noktalarınızı seçerek uçuşunuzun durumu hakkında bilgi alabilirsiniz."
All-in,Uçuşumda bir değişiklik meydana geldiğinde bundan nasıl haberdar olabilirim?,"Uçuşunuzla ilgili bir değişiklik olduğunda bu durumdan telefon, kısa mesaj veya e-posta yoluyla haberdar edileceğinizden emin olabilirsiniz. Uçuş değişikliği halinde, size sunulan farklı alternatiflerden yararlanabilirsiniz. Doğrulama için çağrı merkezimize bildirimde bulunmanız istenebileceğini hatırlatalım. Ayrıca uçuş durumunu internet sitemiz/mobil uygulamamız üzerinden uçuş durumu sayfamızı ziyaret ederek de öğrenebilirsiniz."
All-in,Yolculuk yapacağım uçak tipini nasıl öğrenebilirim?,Biletleme sırasında ve biletinizi oluşturduktan sonra yolculuk detaylarınızı görüntüleyerek uçuşunuzu gerçekleştireceğiniz uçak tipini öğrenebilirsiniz. Ancak bazı durumlarda operasyonel nedenlerden dolayı uçak tipini değiştirmek zorunda kaldığımızı belirtelim. Detaylı bilgi için rezervasyon sayfamızı ziyaret edebilirsiniz.
All-in,Nasıl e-bilet satın alabilirim?,"Bilgisayarınız, tabletiniz ya da akıllı telefonunuz üzerinden internet sitemize/mobil uygulamamıza girerek veya bize ulaşın sayfamızdaki çağrı merkezimizi arayarak e-bilet satın alabilirsiniz. Detaylı bilgi için rezervasyon sayfamızı ziyaret edebilirsiniz."
All-in,Açık tarihli iç hat ve dış hat biletimin son kullanım ve iade tarihini öğrenebilir miyim?,"Açık tarihli iç veya dış hat biletler için iade tarihi, aksi durumu yayımlar ile belirtilmiyor ise, düzenlendiği tarihten itibaren 2 yıldır. EMD’ler (Elektronik Muhtelif Doküman) için de, öncelikle EMD tipinin kendi kuralları kontrol edilmelidir. Aksi durumu yayımlar ile belirtilmiyor ise, EMD’ler (Elektronik Muhtelif Doküman) için de iade tarihi, düzenlendiği tarihten itibaren 2 yıldır. Detaylı bilgi için en yakın satış ofisimize başvurabilir, bize ulaşın sayfamızdaki çağrı merkezimizi arayabilirsiniz."
All-in,Farklı şehirde oturan bir yakınıma bilet almak istiyorum. Yakınım bu biletini bulunduğu şehirden alabilir mi?,"Yakınınız, adına düzenlenen ve sizin satın aldığınız bileti kendisine en yakın satış ofisimizden teslim alabilir. Ayrıca bu işlemi e-bilet uygulamasıyla daha kolay hale getirebilirsiniz. Biletinizi internet ya da çağrı merkezi aracılığıyla satın alıp yakınınız adına düzenleterek, bileti sorunsuz bir şekilde teslim almasını sağlayabilirsiniz. Detaylı bilgi için rezervasyon sayfamızı ziyaret edebilirsiniz."
All-in,Engelliler için indiriminiz var mı?,%40 ve üzeri oranda engeli olan yolcularımız iç ve dış hat seferlerimizde indirimli bilet hizmetinden yararlanabiliyorlar. Engelli yolcularımızın indirimden yararlanabilmeleri için tek yapmaları gereken %40 ve üzeri oranda engelli olduklarını belirten bir belge sunmaları. Detaylı bilgi için hasta ve engelli yolcular ve ücret koşulları sayfalarımızı ziyaret edebilir ya da bize ulaşın sayfamızdaki çağrı merkezimizden veya satış ofislerimizden bilgi alabilirsiniz.
All-in,Yaşlılar için indirim uyguluyor musunuz?,Yaşlı yolcularımız dış hat seferlerinde bazı güzergâh ve ücret sınıfları için indirimli bilet hizmetinden faydalanabilir. Ancak bu indirimi online kanallarımız (internet sitesi/mobil uygulama) aracılığıyla satın alınan biletlerde sunamıyoruz. Detaylı bilgi için ücret koşulları sayfamızı ziyaret edebilir ya da bize ulaşın sayfamızdaki çağrı merkezimizden veya satış ofislerimizden bilgi alabilirsiniz.
All-in,Aktarma (layover) ve duraklama (stopover) arasında ne fark var?,Seyahatiniz sırasında belli bir noktada uçak değiştirip varış noktanıza farklı bir uçakla devam ediyorsanız buna aktarma (layover) adı verilir. Aktarmalı uçuşlarda uçak değişimi sırasında bagajınız görevliler tarafından diğer uçağa nakledilir.
All-in,Turkish Airlines Lounge'larda hangi hizmetlerden faydalanabilirim?,"Benzersiz bir seyahat deneyiminin önemli bir parçası olan Turkish Airlines Lounge'larımızda soğuk-sıcak içeceklerden sıcak yemek çeşitlerine ve ızgaralara kadar tüm zengin ikramlarımızdan faydalanabilirsiniz. Ayrıca iş görüşmeleriniz için toplantı salonumuzu kullanabilir, bilgisayar, yazıcı ve kablosuz internet hizmetlerimizi değerlendirebilirsiniz. Sinema salonumuzda keyifle film izleyebilir, mescidimizi kullanabilir, duş gibi kişisel ihtiyaçlarınızı giderebilirsiniz. Detaylı bilgi için Lounge İstanbul sayfamızı ziyaret edebilirsiniz."
All-in,Biletimi kaybettiğimde ne yapmalıyım?,"Biletiniz kaybolduğunda kimliğinizle birlikte doğrudan check-in bankosuna gelerek işlem yapabilirsiniz. İnternet sitemiz/mobil uygulamamız üzerinden ya da çağrı merkezimiz aracılığıyla aldığınız biletlerin kaybolması durumunda ise çağrı merkezimizi arayarak bilet e-postasının, bilet alırken sisteme girdiğiniz e-posta adresine tekrar gönderilmesini isteyebilirsiniz. Detaylı bilgi için bize ulaşın sayfamızdaki çağrı merkezimizden bilgi alabilirsiniz."
All-in,Uçuş detaylarımı görebileceğim bir bölüm var mı?,"Belirli bir uçuşla ilgili tüm detaylara rezervasyon kodunuz (PNR) ya da e-bilet numaranızı ve soyadınızı girerek Türk Hava Yolları sistemine giriş yaptıktan sonra ulaşabilirsiniz. Ayrıca Miles&Smiles üyesiyseniz üyelik numaranız ve şifrenizle giriş yaptıktan sonra hesabınızdaki ""uçuşlarım"" bölümünden geçmiş ve gelecekteki tüm uçuşlarınızı görüntüleyebilirsiniz."
All-in,Aynı kabin sınıfı içindeki bilet fiyatları neden birbirinden farklı olabiliyor?,"Aynı kabin sınıfındaki biletlerin ücretleri, yolcunun gittiği yerde kalacağı süre ve bileti satın alma zamanına göre farklılık gösterebilir. Bu ücretlerdeki farklılık oranları uçuşa olan talebe göre belirlendiğinden, uçuş tarihinden mümkün olduğu kadar erken bilet alarak en uygun ücretlerden yararlanabilirsiniz."
All-in,Neden biletleme servis ücreti alıyorsunuz?,"Türk Hava Yolları olarak yolcularımıza çağrı merkezimiz, internet sitemiz ve mobil uygulamamız aracılığıyla yılın 365 günü, 24 saat boyunca kesintisiz olarak rezervasyon ve bilet satış hizmeti sağlıyoruz. Size kesintisiz hizmet verebilmemiz için uçuş hizmeti ile satış hizmeti için alınan ücretleri ayırıyor ve rezervasyondan kalkışa kadar sunduğumuz tüm hizmetler için biletleme servis ücreti alıyoruz."
All-in,"Yaptırdığım rezervasyonda yer alan ""yedek rezervasyon"" ifadesi ne anlama geliyor?","Sizden önce rezervasyon yaptıran kişiler rezervasyonlarını onaylatmadıysa, uçuşa ""yedek rezervasyon"" olarak kabul edilirsiniz. Belirlenen süre içinde rezervasyonunu onaylatmayan bir yolcu olması durumunda, rezervasyon onaylatma hakkına siz sahip olursunuz. Detaylı bilgi için rezervasyon sayfamızı ziyaret edebilirsiniz."
All-in,"Kabinde çakmak, kibrit gibi maddeler bulundurabilir miyim?","Kabin bagajınızda çakmak, kibrit gibi yanıcı maddeler taşıyamazsınız. Sadece üstünüzde bir adet emniyetli kibrit ya da silah şeklinde olmayan bir çakmak taşıyabilirsiniz. Detaylı bilgi için kısıtlamalar sayfamızı ziyaret edebilirsiniz."
All-in,Kabin bagajımda deodorant ve parfüm taşıyabilir miyim?,100 ml'den daha küçük boyutlarda olan deodorant ve parfümleri kabin bagajınızda taşıyabilirsiniz. Diğer yolcuların konforu açısından deodorant ve parfümlerinizi koku sızdırmayacak şekilde taşımanızı öneririz. Detaylı bilgi için kısıtlamalar sayfamızı ziyaret edebilirsiniz.
All-in,Uçakta fotoğraf veya video çekimi yapabilir miyim?,"Değerli yolcularımız; uçaklarımızda görüntü, fotoğraf ve ses kaydı yapılması yasak olmamakla birlikte, bu tür cihazların makul ölçüler ve yasal sınırlar dahilinde kullanılması gerekmektedir. Elektronik cihazlar özellikle kişisel verilerin korunmasını ve gizliliğini, kişilerin iş ve çalışma hürriyetini, özel hayatın mahremiyetini ve kişilik haklarını ihlal etmeyecek şekilde yasal sınırlar dahilinde kullanılabilecektir. "
Seyahat belgeleri,İç hat seferlerinde kimlik kontrolü yapılıyor mu?,"İç hat seferlerinde de kimlik kontrolü yapılıyor. Bu sebeple yanınızda nüfus cüzdanı, ehliyet ya da pasaportunuzu bulundurmayı ihmal etmeyin."
Seyahat belgeleri,Yeni doğan bebeğimle yolculuk yapabilir miyim?,"Bebekleri, doğumlarından sonraki ilk 48 saat içinde uçuşlara kabul edemiyoruz. 2-8 gün aralığındaki bebeğiniz ise sadece ""uçakla seyahatinde herhangi bir sakınca yoktur” açıklamasının yer aldığı geçerli bir doktor raporu sunmanız durumunda seyahat edebilir. Bebeğiniz, doğumundan sonraki 8 günün ardından kucağınızda seyahat edebilir. Detaylı bilgi için lütfen bebek ve çocuk yolcular sayfamızı ziyaret edin."
Seyahat belgeleri,Gideceğim ülkeye vize almadan önce bilet satın alabilir miyim?,"Tabii ki vizeniz onaylanmadan önce bilet satın alabilirsiniz. Hatta vize işlemlerinize başlamadan önce gidiş dönüş biletinizi satın almış olmanız, başvuru sırasında vize alma olasılığınızı artıran önemli bir etken. Vize başvurunuzun kabul edilmemesi durumunda biletinizin iadesiyle ilgili ücret koşullarını bilmeniz gerektiğini hatırlatalım."
Seyahat belgeleri,Seyahat sırasında ehliyetimi kimlik belgesi olarak kullanabilir miyim?,İç hat seferlerinde üzerinde Türkiye Cumhuriyeti kimlik numarası bulunan ehliyetinizi kimlik belgesi yerine kullanabilirsiniz. Dış hat seferlerinde ise sadece nüfus cüzdanınızı ya da pasaportunuzu kimlik belgesi olarak kullanabilirsiniz. Detaylı bilgi için seyahat belgeleri sayfamızı ziyaret edebilirsiniz.
Seyahat belgeleri,Kuzey Kıbrıs Türk Cumhuriyeti'ne gitmek için pasaporta ihtiyacım var mı?,Kuzey Kıbrıs Türk Cumhuriyeti'ne seyahat ederken pasaport zorunluluğu yoktur. Yeni tip T.C. kimlik kartınız ile de seyahat edebilirsiniz. Çocuk yolcularında fotoğraflı yeni tip T.C. kimlik kartının olması gerekmektedir. TC kimlik belgeniz olmadığı durumlarda pasaportunuzu kimlik belgesi olarak kullanabileceğinizi hatırlatalım. Detaylı bilgi için seyahat belgeleri sayfamızı ziyaret edebilirsiniz.
Seyahat belgeleri,Yurt dışı çıkış harcını havalimanında ödeyebilir miyim?,
Seyahat belgeleri,Çocuğumun pasaportu olması gerekiyor mu?,Yeni yapılan düzenlemelerle birlikte artık her bireyin yurtdışı seyahatleri sırasında kendine ait pasaportu olması gerekiyor. Bu konuda ayrıntılı bilgi almak için Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü internet sitesini ziyaret edebilirsiniz. Detaylı bilgi için seyahat belgeleri sayfamızı ziyaret edebilirsiniz.
Seyahat belgeleri,Yurt dışı çıkış harcını havalimanında ödeyebilir miyim?,"Maliye Bakanlığı yurtdışı çıkış harcını, şehir merkezlerindeki vergi daireleri ve yetkili banka şubelerinden yatırabilirsiniz. Ayrıca Maliye Bakanlığına ait harç bürolarından, ve havalimanlarının dış hatlar gidiş terminallerindeki ödeme noktalarından ve 7/24 açık banka şubelerinden de ödeme yapabilirsiniz. Maliye Bakanlığı İnteraktif Vergi Dairesi resmi sayfasında yer alan “Hızlı Ödeme” bölümünden “Yurt Dışına Çıkış Harcı Ödeme” menüsü aracılığıyla yurt dışına çıkış harcınızı ödeyebilirsiniz."
Seyahat belgeleri,Gideceğim ülkenin güncel vize koşullarını nasıl öğrenebilirim?,Ülkelerin vize politikaları zaman içinde değişiklik gösterebildiğinden seyahat planı yaparken Dışişleri Bakanlığının internet sitesinden ve seyahat edeceğiniz ülkenin konsolosluğundan güncel vize politikasını öğrenebilirsiniz. Detaylı bilgi için seyahat belgeleri sayfamızı ziyaret edebilirsiniz.
Seyahat belgeleri,Türkiye'ye giriş için nasıl e-vize alabilirim?,"Türkiye'ye seyahat edecek yabancı uyruklu yolcularımız, kendi ülkelerinin koşullarına uygun olarak www.evisa.gov.tr internet adresinden e-vizelerini alabilir ya da dış temsilciliklerimize şahsen başvuru yapabilir."
Seyahat belgeleri,Türkiye'den yurtdışına seyahat ederken yanımda ne kadar nakit para bulunabilir?,Türkiye çıkışlı yurtdışı seyahatlerinizde yanınızda bulundurabileceğiniz nakit hakkındaki bilgiye http://www.mfa.gov.tr/turkiye_ye-ait-gumruk-bilgileri.tr.mfa linkinden ulaşabilirsiniz.
Seyahat belgeleri,Çifte vatandaşlığım ve birden fazla pasaportum var. Vatandaşlığım ya da ülkem sorulduğunda hangisini söylemeliyim?,İstediğiniz kimliği sunabilirsiniz. Seyahat edeceğiniz ülkenin vize ve pasaport politikasına göre daha avantajlı olabileceğiniz pasaportu ve kimlik belgesini sunmanızı öneririz. Ancak bazı ülkelerin çifte vatandaşlığı kabul etmediğini unutmayınız.
Seyahat belgeleri,Pasaportumun tarihi yakında sona erecek. Yine de yolculuk yapabilir miyim?,Pasaport sürenizin geçerliliği yolculuk yapacağınız ülkelere göre değişiklik gösterir ve çoğu ülke seyahat edebilmeniz için en az 6 ay geçerli pasaport şartı arar. 
Seyahat belgeleri,Seyahat edeceğim ülkenin benden istediği APIS bilgisi nedir?,Özel güvenlik bilgileri (APIS) ülkelerin yolculardan uçuştan önce ya da uçuş sırasında havayolu firması tarafından alınmasını istediği pasaport bilgileri ve kişisel bilgilerdir. Detaylı bilgi için seyahat belgeleri sayfamızı ziyaret edebilirsiniz.
Seyahat belgeleri,APIS bilgilerini ne zaman vermeliyim?,Özel güvenlik bilgilerinizi (APIS) check-in işlemi sırasında kontuardaki görevli memurla paylaşabilirsiniz. Ayrıca kontuarda vakit kaybetmemek için self check-in seçeneklerini kullanarak özel güvenlik bilgilerinizi kendiniz doldurabilirsiniz. Detaylı bilgi için seyahat belgeleri sayfamızı ziyaret edebilirsiniz.
Diğer,Kabin bagajım içindeki sıvılar için hangi kurallara uymalıyım?,Sıvılar için genellikle 100 ml'yi geçmeyen şişelerde ve bir adet şeffaf ve kapatılabilir bir plastik torbada taşıma kuralı vardır. Her yolcu için sıvılar toplamda 1 litrelik torbada olmalıdır.
Diğer,Kabin bagajımın içine koyduğum elektronik cihazlar için ek güvenlik önlemi almalı mıyım?,"Elektronik cihazları kabin bagajınızda taşıyacaksanız, güvenlik kontrolünde bu cihazları çıkarmanız gerekebilir. Güvenlik yetkililerine yardımcı olmak için elektronik cihazları hızlıca çıkarabileceğiniz bir yerde tutmanız önerilir."
Diğer,Kabin bagajımı uçak içinde nereye koymalıyım?,Kabin bagajınızı uçak içinde koltuğunuzun üzerinde bulunan bagaj bölmesine veya koltuğun altındaki boşluğa koymalısınız. Acil çıkış kapılarına veya çıkış yollarına engel olmayacak şekilde yerleştirmelisiniz.
Diğer,Çocuğum için ayrı bir koltuk rezervasyonu yapmalı mıyım?,"Genellikle 2 yaşından büyük çocuklar için ayrı bir koltuk rezervasyonu yapmanız gerekmektedir. Ancak bazı havayolu şirketlerinin politikaları farklılık gösterebilir. Çocuğunuzla seyahat edecekseniz, önceden havayoluyla iletişime geçmekte fayda var."
